repository,username
"amashfak2020-ai/.net_app","amashfak2020-ai"
"amashfak2020-ai/ai-agent","amashfak2020-ai"
"amashfak2020-ai/amashfak2020-ai","amashfak2020-ai"
"amashfak2020-ai/cicd-with-dot-net","ajay04"
"amashfak2020-ai/cicd-with-dot-net","amashfak2020-ai"
"amashfak2020-ai/claude-flow","ruvnet"
"amashfak2020-ai/claude-flow","claude"
"amashfak2020-ai/claude-flow","alexx-ftw"
"amashfak2020-ai/claude-flow","tommy-ca"
"amashfak2020-ai/claude-flow","lanemc"
"amashfak2020-ai/claude-flow","amashfak2020-ai"
"amashfak2020-ai/claude-flow","busla"
"amashfak2020-ai/claude-flow","Andycodeman"
"amashfak2020-ai/claude-flow","coygeek"
"amashfak2020-ai/claude-flow","6farer"
"amashfak2020-ai/claude-flow","mosdehcom"
"amashfak2020-ai/claude-flow","michaelozery"
"amashfak2020-ai/claude-flow","nagyv"
"amashfak2020-ai/devops-directive-docker-course","sidpalas"
"amashfak2020-ai/devops-directive-docker-course","abdelhaqelamraoui"
"amashfak2020-ai/devops-directive-docker-course","torgoton"
"amashfak2020-ai/devops-directive-docker-course","mesmith027"
"amashfak2020-ai/devops-directive-docker-course","kkzxak47"
"amashfak2020-ai/docker-ubuntu","amashfak2020-ai"
"amashfak2020-ai/Java_app","amashfak2020-ai"
"amashfak2020-ai/My-Reusable","amashfak2020-ai"
"amashfak2020-ai/new_repo1","amashfak2020-ai"
"amashfak2020-ai/pager-duty-integration","amashfak2020-ai"
"amashfak2020-ai/user-report","amashfak2020-ai"
"amashfak2020-ai/website-simple-healthcheck","amashfak2020-ai"
